drugName,Review,rating,Processed_Review,sentiment_score
Topiramate,I have been on this medication almost two weeks started out on mg and working my way up to mg currently at mg No headaches at all so far and I was having crippling migraines a week I have lost lbs so far but note I am really paying close attention to what I am eating I have a lot of weight to lose and if weight loss is a side effect I want to help it along as much as I can Now other side effects they are there the word recall issues exist the memory issues the worst of it seems to be the vision disturbances there have been times I have just not driven because Im sure it would not have been safe The good news is it seems to be wearing offI have tons of energy and I am in a great mood,9,i medic almost two week start mg work way mg current mg no headach far i crippl migrain week i lost lb far note i realli pay close attent i eat i lot weight lose weight loss side effect i want help along much i now side effect word recal issu exist memori issu worst seem vision disturb time i driven im sure would safe the good news seem wear offi ton energi i great mood,0.929128959029913
L-methylfolate,I have taken antidepressants for years with some improvement but mostly moderate to severe side affects which makes me go off them I only take Cymbalta now mostly for pain When I began Deplin I noticed a major improvement overnight More energy better disposition and no sinking to the low lows of major depression I have been taking it for about months now and feel like a normal person for the first time ever Best thing no side effects,10,i taken antidepress year improv mostli moder sever side affect make go i take cymbalta mostli pain when i began deplin i notic major improv overnight more energi better disposit sink low low major depress i take month feel like normal person first time ever best thing side effect,0.9999999608844519
Pentasa,I had Crohns with a resection years ago and have been mostly in remission since Have recently had a bad flare and narrowing at the anastomosis and need to be on medication but havent found one that I can handle Asacol gave me such serious body aching and fatigue that I could not function Pentasa immediately gave me heart palpitations and arrhythmias so I had to discontinue it,4,i crohn resect year ago mostli remiss sinc have recent bad flare narrow anastomosi need medic havent found one i handl asacol gave seriou bodi ach fatigu i could function pentasa immedi gave heart palpit arrhythmia i discontinu,-0.2548198500648141
Dextromethorphan,Have a little bit of a lingering cough from a cold Not giving me much trouble except keeps me up at night I heard this was good so I took so I could get some sleep Helped tremendously with the cough but then I was having bad stomach cramps and diarrhea I hadnt eaten anything that should have upset my stomach and it didnt really feel like a quotbugquot so I looked up side effects for Delsym Now I wish I had done that first because I probably wouldnt have taken it So while it worked for my cough I still didnt get any sleep due to the stomach issues,4,have littl bit linger cough cold not give much troubl except keep night i heard good i took i could get sleep help tremend cough i bad stomach cramp diarrhea i hadnt eaten anyth upset stomach didnt realli feel like quotbugquot i look side effect delsym now i wish i done first i probabl wouldnt taken so work cough i still didnt get sleep due stomach issu,0.32072327435016634
Nexplanon,Started Nexplanon months ago because I have a minimal amount of contraceptions I can take due to my inability to take the hormone that is used in most birth controls Im trying to give it time because it is one of my only options right now But honestly if I had options Id get it removed Ive never had acne problems in my life and immediately broke out after getting it implanted Sex drive is completely gone and I used to have sex with my boyfriend a few days a week now its completely forced and not even fun for me anymore I mean Im on birth control because I like having sex but dont want to get pregnant why take a birth control that takes away sex Very unhappy and hope that I get it back with time or Im getting it removed,3,start nexplanon month ago i minim amount contracept i take due inabl take hormon use birth control im tri give time one option right but honestli i option id get remov ive never acn problem life immedi broke get implant sex drive complet gone i use sex boyfriend day week complet forc even fun anymor i mean im birth control i like sex dont want get pregnant take birth control take away sex veri unhappi hope i get back time im get remov,-0.11115189865231517
Liraglutide,I have been taking Saxenda since July I had severe nausea for about a month once I got up to the dosage It has since subsided and the only side effect I notice now is the dry mouth I make sure to drink litres of water a day about glasses This helps with the weight loss as well as the constipation I have been reducing my dose to find a comfortable spot where I am still losing weight but dont feel like I am over medicating For me is working very well I also feel wearing a Fitbit has really helped I can track my food water exercise and steps it keeps me moving more When this started I could barely walk the length of myself without getting winded I have lost lbs so far,9,i take saxenda sinc juli i sever nausea month i got dosag it sinc subsid side effect i notic dri mouth i make sure drink litr water day glass thi help weight loss well constip i reduc dose find comfort spot i still lose weight dont feel like i medic for work well i also feel wear fitbit realli help i track food water exercis step keep move when start i could bare walk length without get wind i lost lb far,0.916787663847208
Trimethoprim,This drug worked very well for me and cleared up my UTI in a matter of hrs although I was on a day course of xmgdaily Unfortunately once the tablets finished the infection returned so needed a nd course Im currently taking a low dose at evening to keep the infection at bay while the specialists do some tests I normally get every side effect going and dread taking new medication in any form especially after an horrific experience with Ciorofloxacin but the only side effect I experienced with this was itchy ankles and feet on day two but that didnt last into third day so I would class this as a minor side effect and insignificant Good luck,9,thi drug work well clear uti matter hr although i day cours xmgdaili unfortun tablet finish infect return need nd cours im current take low dose even keep infect bay specialist test i normal get everi side effect go dread take new medic form especi horrif experi ciorofloxacin side effect i experienc itchi ankl feet day two didnt last third day i would class minor side effect insignific good luck,0.9536929935216905
Amitriptyline,Ive been taking amitriptyline since January after being diagnosed with fibromyalgia I tried cymbalta for a week and my Dr decided that since it kept me awake that it wasnt a good fit for me even though it relieved my pain I started with mg After weeks I had some breakthrough pain so my Dr increased my dosage to mg and Im still on that dosage today For the first full year I was on this I never had pain and felt cured As time went on it seems to help control my pain I do still have pain but at a low manageable level I take this around pm each evening to avoid feeling overly drowsy in the mornings This med allows me to have a fairly normal life,9,ive take amitriptylin sinc januari diagnos fibromyalgia i tri cymbalta week dr decid sinc kept awak wasnt good fit even though reliev pain i start mg after week i breakthrough pain dr increas dosag mg im still dosag today for first full year i i never pain felt cure as time went seem help control pain i still pain low manag level i take around pm even avoid feel overli drowsi morn thi med allow fairli normal life,0.9352398417890072
Lamotrigine,Ive been on every medicine under the sun it seems to manage the hypomania mania of Bipolar Within a few days of starting Lamictal was on Tegretol it was as if someone had turned a light on in my head Is this the way quotnormalquot people think was one of the first things that struck me I sleep like a log have no irritability almost no anger other than what would be considered normal I am able to focus and my creative impulsive thoughts have decreased enough to be manageable Its a God send as I would perennially be in a state of hypo mania which sounds great but I was physically and emotionally exhausted My libido is markedly lower but I wonder if that is perhaps an effect of not being hypo manic I take mg for anxiety,10,ive everi medicin sun seem manag hypomania mania bipolar within day start lamict tegretol someon turn light head is way quotnormalquot peopl think one first thing struck i sleep like log irrit almost anger would consid normal i abl focu creativ impuls thought decreas enough manag it god send i would perenni state hypo mania sound great i physic emot exhaust my libido markedli lower i wonder perhap effect hypo manic i take mg anxieti,1.0000000298023224
Nilotinib,I have been on Tasigna for just over years now mg x times a day Tasigna worked for me within a few weeks I have been in remission for basically the entire years As for the side effects I feel sick to my stomach tired severe leg and arm pain I cant walk to long without needing a break I went from working full time to not working at all because I am so tired all the time but hey I am in remission and alive so is all the above really a problem Nope,10,i tasigna year mg x time day tasigna work within week i remiss basic entir year as side effect i feel sick stomach tire sever leg arm pain i cant walk long without need break i went work full time work i tire time hey i remiss aliv realli problem nope,1.0000000223517418
Atripla,Spring of I was hospitalized with pnuemonia and diagnosed with Lyme diease and full blown AIDS with CD count of quotquot viral load some number so high in the millions I could never remember I was taking Combivir and Kaletra with Dapsone for the st year then it stopped working I started Kaletra with the Dapsone my CD count is now and rising For a few weeks I was very aggressive and broke all my dishes in the house LOL I take vitamin supplements and drink a boost pluz every day LIfe is good now,8,spring i hospit pnuemonia diagnos lyme dieas full blown aid cd count quotquot viral load number high million i could never rememb i take combivir kaletra dapson st year stop work i start kaletra dapson cd count rise for week i aggress broke dish hous lol i take vitamin supplement drink boost pluz everi day life good,0.9558726251125336
Trazodone,I have insomnia its horrible My story begins with my PCP prescribing me Prozac to help with intestinal issues because I was desperate I tried it I was on it for weeks Stopped because of insomnia Then I was prescribed Ativan it out me out but was very addicting I had rebound insomnia Then after about days I hardly any sleep l tried the doctor one more time I asked him about Trazadone He told me that was a good medication for insomnia He put me on mgs but stated I may have to figure out what dosage is best for me I am currently taking mgs which is on the low range of what is prescribed mgs being at the high end for insomnia I have the dry mouth and nasel congestion I can live with that I sleep now yeah,10,i insomnia horribl my stori begin pcp prescrib prozac help intestin issu i desper i tri i week stop insomnia then i prescrib ativan addict i rebound insomnia then day i hardli sleep l tri doctor one time i ask trazadon he told good medic insomnia he put mg state i may figur dosag best i current take mg low rang prescrib mg high end insomnia i dri mouth nasel congest i live i sleep yeah,0.9999999701976776
Etonogestrel,Nexplanon does its job I can have worry free sex The only thing is that my periods are sometimes light and sometimes heavy Sometimes they go away and sometimes they show up unexpected I also feel somewhat depressed Not sure if its Nexplanon or not Ive had Nexplanont for about months now but despite the side effects its the most effective birth control Ive ever used and I do not plan on taking it out,9,nexplanon job i worri free sex the thing period sometim light sometim heavi sometim go away sometim show unexpect i also feel somewhat depress not sure nexplanon ive nexplanont month despit side effect effect birth control ive ever use i plan take,0.9346091568470002
Etanercept,I live in Western Australia and disturbed by some comments on here The cost of Embrel is cost of an ordinary prescription for me the government pays the remainder of the cost to the chemist I also go to the the medical centre every Saturday morning a Dr looks over my prescription and then he advises the nurse to administer the injection also no cost to myself and this is part of nurses duties I am unsure of the country where people who have made comments referring to cost and that nobody is there to administer the injection for them I am very lucky to live in Australia as we have the best health system worldwide and everybody is given the opportunity to receive proper medical help whether you are rich or poor there is no discrimination,10,i live western australia disturb comment the cost embrel cost ordinari prescript govern pay remaind cost chemist i also go medic centr everi saturday morn dr look prescript advis nurs administ inject also cost part nurs duti i unsur countri peopl made comment refer cost nobodi administ inject i lucki live australia best health system worldwid everybodi given opportun receiv proper medic help whether rich poor discrimin,0.999999962747097
Tioconazole,Do not use the cream that comes with this It turned my hooha into a burning ring of fire It is am and I have to work tomorrow Its going to be a sleepless night for me,1,do use cream come it turn hooha burn ring fire it i work tomorrow it go sleepless night,0.023547417484223843
Azithromycin,Was prescribed one dose over the course of one day took pills of mg after a light lunch and had nausea and mild stomach painsupset Lying down did not alleviate the discomfort and threw up hours later Called up my doctor to check if I needed to take another dose but he said my body would have absorbed the pills by then Still experiencing mild stomach pains but nausea is mostly gone now,7,wa prescrib one dose cours one day took pill mg light lunch nausea mild stomach painsupset ly allevi discomfort threw hour later call doctor check i need take anoth dose said bodi would absorb pill still experienc mild stomach pain nausea mostli gone,0.8960775591433048
Eflornithine,Im writing a second review on Vaniqa I started using this in February this year Twice a day although some daystimes I do forget I just want to say how delighted I am to have found this It has totally and completely changed my life I had terrible male pattern hair growth all over my cheeks chin upper and lower lip and starting to grow down my neck I used to pluck for up to hrs a time every rd day but was never hair free I wouldnt kiss anyone hello or goodbye as even plucked the stubble could be felt under my skin months on im not scared of being caught in bright sunlight I pluck around once a fortnight and it takes around mins The hairs that are coming through are soft and downy My life is transformed,10,im write second review vaniqa i start use februari year twice day although daystim i forget i want say delight i found it total complet chang life i terribl male pattern hair growth cheek chin upper lower lip start grow neck i use pluck hr time everi rd day never hair free i wouldnt kiss anyon hello goodby even pluck stubbl could felt skin month im scare caught bright sunlight i pluck around fortnight take around min the hair come soft downi my life transform,0.9999999776482582
Daytrana,Hi all My son who is was diagnosed when he was in nd grade We tried everything before medication When we tried meds the first one made him loose weight fast The second gave him a nasty tic that thankfully went away as soon as he stopped the med the third worked for a couple of years and around January of last year we started to have problems so his doctor recommended Daytrana It has been wonderful for my son Easy to use he handles this for himself each day and takes it off when he gets home from school The patch effects last long enough for him to do his homework He does have issues with weight gain and sleep but he uses melatonin before bed if he feels like he will not be able to shut down The shortage is KILLING us,10,hi my son diagnos nd grade we tri everyth medic when tri med first one made loos weight fast the second gave nasti tic thank went away soon stop med third work coupl year around januari last year start problem doctor recommend daytrana it wonder son easi use handl day take get home school the patch effect last long enough homework he issu weight gain sleep use melatonin bed feel like abl shut the shortag kill us,1.0000000596046448
Ativan,Honestly I have been taking ativan for years now mg twice daily It does help but it should be used as a tool for panic attacks NOT A SOLUTION I have tried so many antidepressants as well such as cymbalta cipralex and a couple more The best thing is to talk to close friends and family or even a psychiatrist talking to people and venting is honestly the best thing you can do for yourself even though it takes a lot of will power to do it I would love to hear other people opinion,6,honestli i take ativan year mg twice daili it help use tool panic attack not a solut i tri mani antidepress well cymbalta cipralex coupl the best thing talk close friend famili even psychiatrist talk peopl vent honestli best thing even though take lot power i would love hear peopl opinion,0.9544022865593433
Imitrex,At first I suffered through them This included splitting head pain nausea and vomiting I started using Excedrin after a while which helped if I took it right away Then that started to not work so well anymore I had one really bad one that lasted hours I was still throwing up at pm and I was now throwing up blood I went to the ER and when I finally got in they put me on an IV to hydrate me They then added Imitrex to the bag and I soon started feeling side effects My head felt like I was going to pass out My breathing became labored and it felt like someone was sitting on my chest They said that meant it was working After about two minutes everything was gone I got pills to take at home and they worked okay Not as fast,8,at first i suffer thi includ split head pain nausea vomit i start use excedrin help i took right away then start work well anymor i one realli bad one last hour i still throw pm i throw blood i went er i final got put iv hydrat they ad imitrex bag i soon start feel side effect my head felt like i go pass my breath becam labor felt like someon sit chest they said meant work after two minut everyth gone i got pill take home work okay not fast,0.9891437500715256
Azithromycin,Very good response It is so useful for me,10,veri good respons it use,0.9999999778810889
Sertraline,week on Zoloft for anxiety and mood swings I take mg in the mornings with my breakfast Nausea on day one but that subsided as the week went on I get the jitters about hrs after taking it followed by yawning I feel much better though and less angrystressed,8,week zoloft anxieti mood swing i take mg morn breakfast nausea day one subsid week went i get jitter hr take follow yawn i feel much better though less angrystress,0.8366221729665995
Toradol,I am years old I had a multiple composite spinal injuries years ago The aches and pains unbearable I started taking antiinflammatories about years ago I started getting injections every month of Toradol and quotDepoquot something I am almost off all pain meds I mean I still have bad days but I can function again,10,i year old i multipl composit spinal injuri year ago the ach pain unbear i start take antiinflammatori year ago i start get inject everi month toradol quotdepoquot someth i almost pain med i mean i still bad day i function,0.9999999850988388
Tioconazole,The burning is out of control about minutes after inserting it Sat in the bath trying to get this stuff out This is awful,1,the burn control minut insert sat bath tri get stuff thi aw,-0.07461115927435458
Viberzi,Have been taking Viberzi for a month now for IBSD and I cant be happier I have ZERO side effects Thank you for making me normal again,8,have take viberzi month ibsd i cant happier i zero side effect thank make normal,0.8069418855011463
Mobic,Reduced my pain by and lets me live a normal life again,10,reduc pain let live normal life,0.9999999776482582
Dulcolax,SO MUCH PAIN In the last years I have suffered with a brain tumour so have been in a LOT of pain to the point of morphine everyday for a year Then I had brain surgerybut the pain from this pill came pretty close In serious pain to the point of blacking out hot and cold shivers and just sat in pain feeling like trapped windindigestion its just Ahhhh Dont take this,1,so much pain in last year i suffer brain tumour lot pain point morphin everyday year then i brain surgerybut pain pill came pretti close in seriou pain point black hot cold shiver sat pain feel like trap windindigest ahhhh dont take,-0.06480084857903422
Morphine,I have been on morphine for at least yearsIt is the only medicine that seems to manage my pain Without it I would be in bed of the time With it I can have a life,8,i morphin least yearsit medicin seem manag pain without i would bed time with i life,0.8853355571627617
MoviPrep,I have taken this at least times for the last years I have had major problems with it since the first time Causing me MAJOR FATIGUE The last time I took it was years ago and I had very severe cramps and not having enough time to get to the bathroom I went to the hospital and the doctor said it didnt work good enough so he had me go home and do a second round I went back the next day and did the process with no energy I had to do it last night and it was even worse than the other times I was gagging it down and up all night with severe cramps I tried the second dose in the morning and I just about started throwing up so I called the office and they said to stop Once the doctor was done he said it didnt evacuate enough,2,i taken least time last year i major problem sinc first time caus major fatigu the last time i took year ago i sever cramp enough time get bathroom i went hospit doctor said didnt work good enough go home second round i went back next day process energi i last night even wors time i gag night sever cramp i tri second dose morn i start throw i call offic said stop onc doctor done said didnt evacu enough,-0.14219793137162925
Trilafon,I had a similar experience Tremors in hands not really noticeable to someone watching unless they were looking for it but relief from the delusions I was experiencing My problem has been going on for over years so I anticipate it will not magically disappear and it didnt but the clarity of thinking I experience with this medicine really helps me,9,i similar experi tremor hand realli notic someon watch unless look relief delus i experienc my problem go year i anticip magic disappear didnt clariti think i experi medicin realli help,0.9318291537463665
Fluconazole,I am very prone to yeast infections I believe its due to my birth control as well as having unprotected sex Fluconazole has always cleared up my yeast infections with doses No side effects,8,i prone yeast infect i believ due birth control well unprotect sex fluconazol alway clear yeast infect dose no side effect,0.9844812154769897
Contrave,I am just finishing my second week taking Contrave and have lost lbs It has been an interesting experience because the drug is definitely not an appetite suppressant yet it does help you control the urge to eat I have had mild side effects some stomach discomfort and slight headaches along with constipation but it has all been easily manageable If you are considering taking this medication please keep in mind that you still need to do the work by exercising and eating right but the medication really does help It has helped me get my motivation back to exercise and it definitely helps with cravings to eat making it easy to just eat what I need to be healthy Use the coupon they give you it drops cost to,8,i finish second week take contrav lost lb it interest experi drug definit appetit suppress yet help control urg eat i mild side effect stomach discomfort slight headach along constip easili manag if consid take medic pleas keep mind still need work exercis eat right medic realli help it help get motiv back exercis definit help crave eat make easi eat i need healthi use coupon give drop cost,0.8184715577401221
Clonazepam,This medication changed my life My panic attacks were so out of control I was barely able to leave the house Within days a moderate does of this changed me into a new person That was years ago My dosage has never changed,9,thi medic chang life my panic attack control i bare abl leav hous within day moder chang new person that year ago my dosag never chang,0.9828670367598533
Metaxalone,I have been taking this medicine due to lower back trouble When I first took it it worked great now all it does is put me to sleep,5,i take medicin due lower back troubl when i first took work great put sleep,0.8879555016756058
Venlafaxine,my gp started me on Venlafaxine yesterday to help with depression and the changea hour after taking them i was feeling very sick couldnt stomach food or fluids thought keep it up as she told me they did come with some side effects which would get bettertook another one last night and was so ill i couldnt stand being sick sweating shaking thought i was going to pass out Did get some sleep hopeing to feel better this morningtook another one and felt so spaced out dry mouth shaking sick so booked in to see gp again to make sure i should be feeling like this only to find out she had put me on the wrong dose should have been on mg was put on mg now on right dose hope this will be better,4,gp start venlafaxin yesterday help depress changea hour take feel sick couldnt stomach food fluid thought keep told come side effect would get bettertook anoth one last night ill couldnt stand sick sweat shake thought go pass did get sleep hope feel better morningtook anoth one felt space dri mouth shake sick book see gp make sure feel like find put wrong dose mg put mg right dose hope better,0.2560103937983513
Ledipasvir / sofosbuvir,At initial testing my VL was over million I received my meds on saturday days prior to testing to establish a baseline I started when I received my pills days and hours later I got my blood test to establish VL I had taken pills at this point and my VL was under VL weeks was VL weeks was and weeks was weeks til my st EOT test I feel cured My side effects were next to nothing,10,at initi test vl million i receiv med saturday day prior test establish baselin i start i receiv pill day hour later i got blood test establish vl i taken pill point vl vl week vl week week week til st eot test i feel cure my side effect next noth,0.9999999590218067
Ledipasvir / sofosbuvir,Side effects are light fatigue and a bit of a headache I did find it easier to take it an hour after dinner WAY better then the triplethreat approach My blood work does indicate that I am in the beggining stages of cirrhosis I also had Hep B in So far its like a miracle Other than the fatigue which is nothing if youve suffered Jaundice or the Sickie symptoms that Hep C can cause its business as usual,9,side effect light fatigu bit headach i find easier take hour dinner way better triplethreat approach my blood work indic i beggin stage cirrhosi i also hep b so far like miracl other fatigu noth youv suffer jaundic sicki symptom hep c caus busi usual,0.9549760147929192
Symbyax,Helps against sadness and strongly counters moderate urges to drink at a stressful confusing time in my life,8,help sad strongli counter moder urg drink stress confus time life,0.9409401938319206
Tamsulosin,Year Old Male UK Normally I would go every hour even when drinking very small amounts of water or drinks I took this medication for only two weeks I noticed right away I would go less often to the toilet and it was much easier to dispense the urine Unfortunately I had to stop taking this as the medications side effects outweighed the benefits I found that I would have incredibly intense mood swings aggression feel clumsy and dizzy all the time Blurry vision Memory problems or mind blanks runny nose weakness tiredness I am now trying Betmiga lets see,4,year old male uk normal i would go everi hour even drink small amount water drink i took medic two week i notic right away i would go less often toilet much easier dispens urin unfortun i stop take medic side effect outweigh benefit i found i would incred intens mood swing aggress feel clumsi dizzi time blurri vision memori problem mind blank runni nose weak tired i tri betmiga let see,0.10586235523223875
Doxycycline,I battled a nasty UTI for over a month amp went through different antibiotics till my doctor finally gave me this one Makes you terribly sick to your stomach but in the end is completely worth it Felt completely back to normal in days,7,i battl nasti uti month amp went differ antibiot till doctor final gave one make terribl sick stomach end complet worth felt complet back normal day,0.8892791628837586
Dulaglutide,Hey Guys Its been months since my last post as I wanted to give it a few months to see how this was going to work So I have been on Trulicity for six months now with Metformin When I hit the five month period the diarrhea gas sulphur belching finally subsided I now longer have any of those side effects However I still havent lost any weight at all but I think that was because when I first started Trulicity I was taking it with Glimepiride and that one has a side effect of weight gain so I think the two meds were fighting each other lol I have been back on the Metformin with Trulicity for about a week now so we will see what this does I was diagnosed as stage chronic kidney disease CKD so I am watching diet closely,10,hey guy it month sinc last post i want give month see go work so i trulic six month metformin when i hit five month period diarrhea ga sulphur belch final subsid i longer side effect howev i still havent lost weight i think i first start trulic i take glimepirid one side effect weight gain i think two med fight lol i back metformin trulic week see i diagnos stage chronic kidney diseas ckd i watch diet close,1.0000000894069672
Intuniv,Intuniv did not work for my son he was bouncing off the walls while he was taking it and having major issues in class It seems to work the opposite on him,1,intuniv work son bounc wall take major issu class it seem work opposit,-0.05140529666095972
Buprenorphine,My pain management doctor put me on Butrans patches about weeks ago mg dose The first box of four was a lifesaver No more agony at work Able to sleep Did more in two weekends than I had in two years Im hoping to bump up to the ten mg dose soon to cut down on my Norco I have had chronic pain for many years and have been through many medicines including Oxycontin This patch is the best so far,8,my pain manag doctor put butran patch week ago mg dose the first box four lifesav no agoni work abl sleep did two weekend i two year im hope bump ten mg dose soon cut norco i chronic pain mani year mani medicin includ oxycontin thi patch best far,0.8089035024866462
Qvar,I got heart palpitations really bad like almost constant I was taking the mcg one puff twice a day I switched to flovemt and all is well,1,i got heart palpit realli bad like almost constant i take mcg one puff twice day i switch flovemt well,0.4308278650045395
Opdivo,My mother died from lung cancer Her last hope of this medication Within a couple months she was gone,1,my mother die lung cancer her last hope medic within coupl month gone,-0.0405840321443975
